City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,Takaka,-40.85,172.8,61.0,76,100,4.0,NZ,2021-04-03 03:22:08
219,Vilyuysk,63.7553,121.6247,2.01,84,100,6.71,RU,2021-04-03 03:22:08
220,Chuy,-33.6971,-53.4616,62.19,85,2,5.77,UY,2021-04-03 03:15:41
221,Kieta,-6.2167,155.6333,85.73,67,81,4.32,PG,2021-04-03 03:15:16
222,East London,-33.0153,27.9116,61.65,80,35,11.3,ZA,2021-04-03 03:15:25
223,Te Anau,-45.4167,167.7167,59.99,46,100,7.72,NZ,2021-04-03 03:15:53
224,Togul,53.465,85.9128,31.62,81,100,11.92,RU,2021-04-03 03:22:09
225,Davila,18.4726,120.5763,86.0,74,20,8.05,PH,2021-04-03 03:22:09
226,Barra Bonita,-22.4947,-48.5581,64.0,80,3,3.0,BR,2021-04-03 03:22:09
227,Kruisfontein,-34.0033,24.7314,54.0,95,2,5.08,ZA,2021-04-03 03:15:21
228,Saint-Pierre,-21.3393,55.4781,77.0,88,75,10.36,RE,2021-04-03 03:20:39
229,Nikolskiy,60.9151,34.0645,29.12,98,99,1.19,RU,2021-04-03 03:22:10
230,Port Elizabeth,-33.918,25.5701,55.4,88,20,5.75,ZA,2021-04-03 03:16:10
231,Dikson,73.5069,80.5464,-13.5,82,91,3.71,RU,2021-04-03 03:15:48
232,Moree,-29.4667,149.85,78.8,44,83,10.36,AU,2021-04-03 03:22:10
233,Nelson Bay,-32.7167,152.15,80.01,73,75,10.36,AU,2021-04-03 03:22:11
234,Solnechnyy,50.7214,136.6319,37.63,47,45,16.58,RU,2021-04-03 03:22:11
235,Christchurch,-43.5333,172.6333,62.6,59,100,17.27,NZ,2021-04-03 03:16:55
236,Upernavik,72.7868,-56.1549,-17.3,99,100,5.91,GL,2021-04-03 03:15:24
237,Ust-Tsilma,65.441,52.1498,20.39,97,97,1.23,RU,2021-04-03 03:22:11
238,Kodar,16.9833,79.9667,87.76,56,9,13.22,IN,2021-04-03 03:22:11
239,Batagay,67.6333,134.6333,4.82,90,100,6.93,RU,2021-04-03 03:16:56
240,Gravdal,68.1214,13.5031,35.46,98,97,21.79,NO,2021-04-03 03:22:12
241,Port Alfred,-33.5906,26.891,60.12,84,38,8.55,ZA,2021-04-03 03:15:20
242,Walvis Bay,-22.9575,14.5053,64.4,72,7,1.14,NA,2021-04-03 03:22:12
243,Pathein,16.7833,94.7333,82.13,72,100,7.63,MM,2021-04-03 03:22:12
244,Wilmslow,53.328,-2.2315,42.01,75,75,5.75,GB,2021-04-03 03:22:13
245,Yulara,-25.2406,130.9889,86.0,21,0,9.22,AU,2021-04-03 03:16:42
246,Ivybridge,50.3904,-3.9191,44.01,69,3,5.01,GB,2021-04-03 03:22:13
247,Abashiri,44.0213,144.2697,50.0,66,75,16.11,JP,2021-04-03 03:22:13
248,Champerico,14.3,-91.9167,73.0,77,6,4.85,GT,2021-04-03 03:22:13
249,Naryan-Mar,67.6713,53.087,12.63,93,100,5.5,RU,2021-04-03 03:22:14
250,Santarem,-2.4431,-54.7083,77.0,94,0,2.3,BR,2021-04-03 03:22:14
251,Belmonte,-15.8631,-38.8828,77.0,94,75,2.3,BR,2021-04-03 03:22:14
252,Oksfjord,70.2396,22.3479,33.01,86,40,5.75,NO,2021-04-03 03:18:45
253,Mayo,38.8876,-76.5119,41.0,36,1,9.22,US,2021-04-03 03:15:27
254,Turayf,31.6725,38.6637,41.0,93,0,16.11,SA,2021-04-03 03:22:15
255,Palora,-1.7,-77.9333,66.42,98,100,2.53,EC,2021-04-03 03:22:15
256,Edd,13.9297,41.6925,77.72,86,11,7.2,ER,2021-04-03 03:22:15
257,Kondoa,-4.9,35.7833,58.73,96,94,2.57,TZ,2021-04-03 03:22:16
258,Chantada,42.6088,-7.7712,51.8,87,90,5.75,ES,2021-04-03 03:22:16
259,Hay River,60.8156,-115.7999,6.8,61,98,3.51,CA,2021-04-03 03:22:16
260,Formosa Do Rio Preto,-11.0483,-45.1931,69.98,94,100,3.4,BR,2021-04-03 03:22:17
261,Uruzgan,32.8333,66.0,60.26,27,89,4.65,AF,2021-04-03 03:22:17
262,Chengde,40.9725,117.9361,52.72,13,85,12.37,CN,2021-04-03 03:22:17
263,Geraldton,-28.7667,114.6,86.0,45,96,5.75,AU,2021-04-03 03:15:54
264,Turukhansk,65.8167,87.9833,12.31,92,100,13.0,RU,2021-04-03 03:16:38
265,Yerbogachen,61.2767,108.0108,18.57,89,100,8.28,RU,2021-04-03 03:16:15
266,Sao Felix Do Xingu,-6.6447,-51.995,71.26,98,81,1.23,BR,2021-04-03 03:15:40
267,Norton,-17.8833,30.7,54.0,87,5,1.01,ZW,2021-04-03 03:22:18
268,Nuuk,64.1835,-51.7216,15.8,79,91,17.27,GL,2021-04-03 03:17:01
269,Notre-Dame-Du-Lac,47.6136,-68.7964,21.2,85,21,4.61,CA,2021-04-03 03:22:18
270,Iquique,-20.2208,-70.1431,64.4,77,0,4.61,CL,2021-04-03 03:13:58
271,Auki,-8.7676,160.7034,86.72,62,58,2.73,SB,2021-04-03 03:22:18
272,Makakilo City,21.3469,-158.0858,80.6,54,40,17.27,US,2021-04-03 03:11:02
273,Mahebourg,-20.4081,57.7,78.8,89,40,10.36,MU,2021-04-03 03:17:08
274,Isangel,-19.55,169.2667,82.4,89,90,4.94,VU,2021-04-03 03:15:53
275,Abbeville,50.1,1.8333,42.01,80,5,7.31,FR,2021-04-03 03:22:19
276,Mariental,-24.6333,17.9667,73.81,35,23,2.8,NA,2021-04-03 03:22:19
277,Cherskiy,68.75,161.3,9.39,74,100,8.1,RU,2021-04-03 03:15:31
278,Ulverstone,-41.15,146.1667,77.0,64,9,1.99,AU,2021-04-03 03:22:19
279,Erenhot,43.6475,111.9767,38.5,24,5,5.26,CN,2021-04-03 03:18:44
280,Areia Branca,-4.9561,-37.1369,79.68,74,8,15.3,BR,2021-04-03 03:22:19
281,Necochea,-38.5473,-58.7368,60.01,93,5,5.99,AR,2021-04-03 03:22:20
282,Kalabo,-14.97,22.6814,68.07,70,80,5.53,ZM,2021-04-03 03:22:20
283,Lanja,16.85,73.55,79.09,64,9,1.28,IN,2021-04-03 03:17:04
284,Saldanha,-33.0117,17.9442,57.2,77,100,4.61,ZA,2021-04-03 03:17:05
285,Sioux Lookout,50.1001,-91.917,46.4,36,90,5.75,CA,2021-04-03 03:16:52
286,Dingle,10.9995,122.6711,85.03,65,78,12.5,PH,2021-04-03 03:16:39
287,Sundumbili,-29.1337,31.3975,68.0,73,20,8.05,ZA,2021-04-03 03:22:20
288,Hearst,49.6835,-83.6665,33.8,37,100,5.75,CA,2021-04-03 03:20:24
289,Longyearbyen,78.2186,15.6401,17.6,86,75,4.61,SJ,2021-04-03 03:13:22
290,Scarborough,54.2797,-0.4044,42.01,76,10,3.0,GB,2021-04-03 03:20:48
291,Bengkulu,-3.8004,102.2655,83.86,67,100,9.4,ID,2021-04-03 03:16:50
292,Merauke,-8.4667,140.3333,82.49,79,96,7.9,ID,2021-04-03 03:20:40
