City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Katsuura,JP,60.01,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
148,San Patricio,US,73.99,mist,28.017,-97.5169,"Motel 6 Sinton, TX"
153,Saint-Philippe,RE,82.4,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
154,Cayenne,GF,75.99,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
155,Samfya,ZM,61.92,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
156,Mongagua,BR,75.99,scattered clouds,-24.0931,-46.6208,Hostel Aloha Brasil
159,Kutum,SD,67.14,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
161,Glens Falls,US,59.0,few clouds,43.3095,-73.64399999999999,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
164,Eufaula,US,66.2,clear sky,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
165,Tubmanburg,LR,76.48,overcast clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
166,Taltal,CL,64.06,overcast clouds,-25.4,-70.4833,Residencial Karime
171,Lhokseumawe,ID,86.36,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
172,Mahibadhoo,MV,82.71,few clouds,3.7833,72.9667,Omadhoo Inn
173,Cap Malheureux,MU,75.99,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
174,Tuatapere,NZ,60.01,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
175,Guerrero Negro,MX,59.11,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
178,Maldonado,UY,70.0,light rain,-34.6667,-54.9167,La Cimarrona
179,Yarada,IN,68.0,haze,17.65,83.2667,Jeevan
180,Rawson,AR,54.79,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
182,Hasaki,JP,60.01,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
185,Intipuca,SV,84.2,few clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
186,Isabela,PH,84.2,light rain,6.7085,121.9711,Isawad Resort
189,Los Llanos De Aridane,ES,62.6,clear sky,28.6585,-17.9182,Valle Aridane
190,Vila,PT,50.0,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
192,Carutapera,BR,74.75,broken clouds,-1.195,-46.02,Lidera
193,Cape Town,ZA,63.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
194,Mar Del Plata,AR,64.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
196,Voh,NC,75.88,light rain,-20.9667,164.7,Le gîte du Koniambo
197,Saint-Pierre,RE,82.4,clear sky,-21.3393,55.4781,Lindsey Hôtel
198,Socoltenango,MX,66.36,scattered clouds,16.2167,-92.25,Canto del Agua Ecolodge
199,Bethel,US,51.8,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
201,Ribeira Grande,PT,58.89,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
202,Ayni,TJ,54.14,clear sky,39.3941,68.5377,Меҳмонхона СУҒД
204,Hualmay,PE,68.79,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
205,America Dourada,BR,67.95,broken clouds,-11.4553,-41.4361,Pousada do Ninho
206,Tatawin,TN,50.0,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
207,Mbandaka,CD,70.72,overcast clouds,0.0487,18.2603,Guest House Epervier
210,Yangjiang,CN,77.0,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
211,Chuy,UY,67.53,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
212,Nguru,NG,78.85,overcast clouds,12.8791,10.4526,Government Lodge
213,Mayumba,GA,80.13,light rain,-3.432,10.6554,LIKWALE LODGE
214,Conway,US,64.4,haze,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
217,Kaffrine,SN,73.17,clear sky,14.1059,-15.5508,Beuleup counda motel
219,Porto Novo,BJ,78.8,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
220,Sao Domingos,BR,72.3,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
221,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
222,Machico,PT,59.0,few clouds,32.7,-16.7667,Dom Pedro Madeira
224,Ponta Do Sol,PT,60.01,scattered clouds,32.6667,-17.1,Hotel do Campo
225,Upata,VE,75.99,overcast clouds,8.0086,-62.3989,Posada Villa Nela
226,Maine-Soroa,NE,79.0,overcast clouds,13.2114,12.0241,Complexe
227,Pedernales,DO,77.4,overcast clouds,18.0384,-71.744,Hotel Costa Marina
228,Miri,MY,87.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
230,Baculin,PH,83.43,broken clouds,7.4525,126.5842,Shovy's Cove
231,Sao Filipe,CV,74.5,few clouds,14.8961,-24.4956,Tortuga B&B
232,Uige,AO,66.29,light rain,-7.6087,15.0613,Hotel Catraio
233,Tecoanapa,MX,77.4,clear sky,16.5167,-98.75,Hotel Manglares
237,Bubaque,GW,76.84,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
238,Villazon,BO,51.39,scattered clouds,-22.0866,-65.5942,La Candelaria
240,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
243,Mbuyapey,PY,75.54,few clouds,-26.2,-56.75,Cabaña AM
244,Lompoc,US,51.8,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
247,Diego De Almagro,CL,59.22,overcast clouds,-26.3667,-70.05,hotel luna del desierto
250,Sur,OM,87.08,clear sky,22.5667,59.5289,Sur Plaza Hotel
251,Moerai,PF,79.05,overcast clouds,-22.4333,-151.3333,Le Manotel
252,Caravelas,BR,71.94,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
254,Esperance,AU,68.0,overcast clouds,-33.8667,121.9,Hospitality Esperance
255,Kampot,KH,89.6,few clouds,10.6167,104.1833,Two Moons Hotel
256,Xichang,CN,79.0,broken clouds,27.8964,102.2634,Xichang ibis Hotel
258,Riberalta,BO,72.18,overcast clouds,-10.9833,-66.1,Hotel Colonial
259,Wote,KE,68.27,overcast clouds,-1.7808,37.6288,Midways Hotel
260,Neuquen,AR,60.8,broken clouds,-38.9516,-68.0591,Hotel del Comahue
263,Maragogi,BR,77.13,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
264,Santona,ES,54.0,clear sky,43.4439,-3.4576,Playamar
266,Linkou,CN,57.31,clear sky,45.3,130.2833,Yueliang Resort
267,Almeirim,BR,72.7,broken clouds,-1.5233,-52.5817,Ricácio Hotel
268,Cabo San Lucas,MX,72.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
269,Kings Mountain,US,64.4,few clouds,35.2451,-81.3412,Holiday Inn Express & Suites Kings Mountain - Shelby Area
270,Rocha,UY,64.35,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
271,San Cristobal,VE,66.9,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
272,Seoul,KR,64.4,clear sky,37.5683,126.9778,Lotte Hotel Seoul
274,Mildura,AU,71.6,broken clouds,-34.2,142.15,Mercure Hotel Mildura
275,Batemans Bay,AU,66.0,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
276,Puerto Rondon,CO,74.43,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
279,Kaeo,NZ,69.01,overcast clouds,-35.1,173.7833,Bushido Lodge
281,Saint-Donat-De-Montcalm,CA,51.8,overcast clouds,46.3187,-74.2219,Le Lincoln Marina Spa
282,Port Blair,IN,85.82,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
286,Yuxia,CN,64.99,overcast clouds,34.0615,108.6291,Shanchengxuan Hotel
287,Pochutla,MX,79.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
288,Korla,CN,60.89,scattered clouds,41.7597,86.1469,Gulisitan Hotel
289,Shimoda,JP,53.6,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
290,Namibe,AO,77.23,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
291,Poum,NC,79.14,heavy intensity rain,-20.2333,164.0167,Gîte kajeon
292,Half Moon Bay,US,50.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
293,Port Lincoln,AU,63.82,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
294,Celestun,MX,82.02,clear sky,20.8667,-90.4,Posada Lilia
295,Valparaiso,CL,57.99,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
298,Jalu,LY,51.82,clear sky,29.0331,21.5482,صاحبة الفخامة
300,Sinnamary,GF,75.02,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
301,Brazzaville,CG,77.0,few clouds,-4.2658,15.2832,Hotel Murex
303,Bud,US,62.01,broken clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
306,Marsh Harbour,BS,72.86,clear sky,26.5412,-77.0636,Abaco Beach Resort
309,Tazmalt,DZ,58.82,overcast clouds,36.3868,4.3989,Hôtel Numédia
310,Inhambane,MZ,68.0,few clouds,-23.865,35.3833,Oceano
312,Axim,GH,79.93,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
314,The Valley,AI,75.99,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
317,Menongue,AO,57.81,scattered clouds,-14.6585,17.691,Ritz Lauca
319,Iberia,US,75.2,overcast clouds,29.9502,-91.7507,back to back rv park
320,Pacific Grove,US,50.0,clear sky,36.6177,-121.9166,Lovers Point Inn
322,Concordia,AR,66.99,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
324,Chifeng,CN,67.87,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
325,Viedma,AR,58.03,overcast clouds,-40.8135,-62.9967,Hotel Cristal
326,Manta,EC,77.0,broken clouds,-0.95,-80.7333,Balandra Hotel
327,Morondava,MG,75.69,overcast clouds,-20.2833,44.2833,La Case Bambou
328,Riyadh,SA,82.4,clear sky,24.6877,46.7219,InterContinental Riyadh
